Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
bow_1_1, 15, 2, 100, 0.8234, 0.7985074626865671, 0.8492257538712307, 0.8460258010819809, 0.8024643819792068, 2033, 370, 513, 2084
bow_1_1, 15, 2, 400, 0.845, 0.8232521602513747, 0.867563162184189, 0.86575795125981, 0.8255137650252036, 2096, 325, 450, 2129
bow_1_1, 15, 2, 800, 0.844, 0.8134328358208955, 0.8757131214343928, 0.8716329966329966, 0.8189786585365854, 2071, 305, 475, 2149
bow_1_1, 20, 2, 100, 0.8234, 0.8047918303220738, 0.8427057864710676, 0.8414784394250513, 0.8062378167641325, 2049, 386, 497, 2068
bow_1_1, 20, 2, 400, 0.8468, 0.8208955223880597, 0.8736756316218419, 0.8708333333333333, 0.8246153846153846, 2090, 310, 456, 2144
bow_1_1, 20, 2, 800, 0.8452, 0.8146111547525531, 0.8769356153219234, 0.872895622895623, 0.8201219512195121, 2074, 302, 472, 2152
bow_1_1, 25, 2, 100, 0.8304, 0.8173605655930872, 0.8439282803585982, 0.8445616883116883, 0.8166403785488959, 2081, 383, 465, 2071
bow_1_1, 25, 2, 400, 0.8448, 0.8224666142969363, 0.8679706601466992, 0.8660049627791563, 0.8249419054996127, 2094, 324, 452, 2130
bow_1_1, 25, 2, 800, 0.851, 0.8271798900235664, 0.8757131214343928, 0.873496474491912, 0.8300502124372344, 2106, 305, 440, 2149
bow_1_1, 15, 3, 100, 0.8264, 0.8024351924587588, 0.8512632436837816, 0.848421926910299, 0.8059413580246914, 2043, 365, 503, 2089
bow_1_1, 15, 3, 400, 0.843, 0.8173605655930872, 0.86960065199674, 0.8667221990837152, 0.8210850327048865, 2081, 320, 465, 2134
bow_1_1, 15, 3, 800, 0.846, 0.8102906520031422, 0.8830480847595762, 0.8778723404255319, 0.8177358490566038, 2063, 287, 483, 2167
bow_1_1, 20, 3, 100, 0.8266, 0.8047918303220738, 0.8492257538712307, 0.847044233154196, 0.8074389771406432, 2049, 370, 497, 2084
bow_1_1, 20, 3, 400, 0.8468, 0.821681068342498, 0.8728606356968215, 0.870216306156406, 0.825115562403698, 2092, 312, 454, 2142
bow_1_1, 20, 3, 800, 0.8468, 0.8161822466614297, 0.8785656071719642, 0.8745791245791246, 0.8216463414634146, 2078, 298, 468, 2156
bow_1_1, 25, 3, 100, 0.8316, 0.8114689709347996, 0.8524857375713122, 0.8509060955518946, 0.8133748055987559, 2066, 362, 480, 2092
bow_1_1, 25, 3, 400, 0.8454, 0.8212882953652789, 0.8704156479217604, 0.8679950186799502, 0.8243921265920494, 2091, 318, 455, 2136
bow_1_1, 25, 3, 800, 0.8476, 0.8205027494108406, 0.8757131214343928, 0.8725981620718463, 0.8246354566385264, 2089, 305, 457, 2149
bow_1_1, 15, 5, 100, 0.8172, 0.7949725058915946, 0.8402607986960066, 0.8377483443708609, 0.7979876160990712, 2024, 392, 522, 2062
bow_1_1, 15, 5, 400, 0.849, 0.821681068342498, 0.8773431132844336, 0.8742164646886753, 0.8258534714230916, 2092, 301, 454, 2153
bow_1_1, 15, 5, 800, 0.8452, 0.8087195600942655, 0.8830480847595762, 0.8776641091219096, 0.8165033911077618, 2059, 287, 487, 2167
bow_1_1, 20, 5, 100, 0.827, 0.8063629222309505, 0.8484107579462102, 0.8465979381443299, 0.8085436893203883, 2053, 372, 493, 2082
bow_1_1, 20, 5, 400, 0.842, 0.8165750196386489, 0.8683781581092095, 0.8655287260616153, 0.8202463433410315, 2079, 323, 467, 2131
bow_1_1, 20, 5, 800, 0.8428, 0.809897879025923, 0.8769356153219234, 0.8722504230118443, 0.8163884673748103, 2062, 302, 484, 2152
bow_1_1, 25, 5, 100, 0.8352, 0.8110761979575806, 0.8602281988590057, 0.8575581395348837, 0.814429012345679, 2065, 343, 481, 2111
bow_1_1, 25, 5, 400, 0.8444, 0.8138256087981147, 0.876120619396903, 0.8720538720538721, 0.819359756097561, 2072, 304, 474, 2150
bow_1_1, 25, 5, 800, 0.849, 0.8185388845247447, 0.8806030969845151, 0.8767353807320152, 0.8238658025162028, 2084, 293, 462, 2161
bow_1_1, 15, 7, 100, 0.8242, 0.7949725058915946, 0.8545232273838631, 0.8500629987400252, 0.8006872852233677, 2024, 357, 522, 2097
bow_1_1, 15, 7, 400, 0.8452, 0.8173605655930872, 0.8740831295843521, 0.8707112970711297, 0.8218390804597702, 2081, 309, 465, 2145
