Model name, max_depth, min_samples_leaf, n_estimators, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
bow_1_1, 15, 2, 100, 0.826, 0.7808326787117046, 0.8728606356968215, 0.8643478260869565, 0.7933333333333333, 1988, 312, 558, 2142
bow_1_1, 15, 2, 400, 0.8418, 0.8138256087981147, 0.8708231458842706, 0.8673084972791963, 0.8184603600153199, 2072, 317, 474, 2137
bow_1_1, 15, 2, 800, 0.8396, 0.8071484681853889, 0.8732681336593318, 0.8685545224006762, 0.813591495823842, 2055, 311, 491, 2143
bow_1_1, 20, 2, 100, 0.8278, 0.7941869599371564, 0.8626731866340668, 0.8571428571428571, 0.8015903067020068, 2022, 337, 524, 2117
bow_1_1, 20, 2, 400, 0.8394, 0.8157894736842105, 0.8638956805215974, 0.8614682704272086, 0.8188489764387794, 2077, 334, 469, 2120
bow_1_1, 20, 2, 800, 0.8424, 0.8181461115475255, 0.867563162184189, 0.8650332225913622, 0.8213734567901234, 2083, 325, 463, 2129
bow_1_1, 25, 2, 100, 0.8334, 0.8047918303220738, 0.863080684596577, 0.8591194968553459, 0.8099426386233269, 2049, 336, 497, 2118
bow_1_1, 25, 2, 400, 0.8426, 0.821681068342498, 0.8643031784841075, 0.862680412371134, 0.8236893203883495, 2092, 333, 454, 2121
bow_1_1, 25, 2, 800, 0.8422, 0.8185388845247447, 0.8667481662591687, 0.8643716300290336, 0.8215527230590962, 2084, 327, 462, 2127
bow_1_1, 15, 3, 100, 0.8242, 0.781618224666143, 0.8683781581092095, 0.8603545179420666, 0.793077781912914, 1990, 323, 556, 2131
bow_1_1, 15, 3, 400, 0.8408, 0.8102906520031422, 0.8724531377343113, 0.8682659932659933, 0.8159298780487805, 2063, 313, 483, 2141
bow_1_1, 15, 3, 800, 0.8398, 0.8055773762765122, 0.8753056234718827, 0.8701739499363598, 0.8127128263337117, 2051, 306, 495, 2148
bow_1_1, 20, 3, 100, 0.827, 0.7918303220738413, 0.8634881825590872, 0.8575074436410038, 0.7999244998112496, 2016, 335, 530, 2119
