Model name, kernel, degree, Accuracy, Precision (True), Precision (False), Recall (True), Recall (False), True Positives, False Negatives, False Positives, False Negatives
tfidf, linear, 3, 0.866, 0.8672427336999214, 0.8647106764466178, 0.8692913385826772, 0.8626016260162601, 2208, 332, 338, 2122
tfidf, 3, 3, 0.8698, 0.8656716417910447, 0.8740831295843521, 0.8770393951452448, 0.8624849215922799, 2204, 309, 342, 2145
tfidf, poly, 2, 0.8436, 0.8424980361351139, 0.8447432762836186, 0.8491686460807601, 0.8379143088116411, 2145, 381, 401, 2073
tfidf, poly, 3, 0.779, 0.8868813825608798, 0.6670741646291769, 0.7343089430894308, 0.8503896103896104, 2258, 817, 288, 1637
tfidf, sigmoid, 3, 0.8676, 0.8672427336999214, 0.8679706601466992, 0.8720379146919431, 0.8630470016207455, 2208, 324, 338, 2130
tfidf, linear, 3, 0.8348, 0.7894736842105263, 0.8818255908720456, 0.8739130434782608, 0.8014814814814815, 2010, 290, 536, 2164
tfidf, 3, 3, 0.7656, 0.6060487038491752, 0.9311328443357784, 0.9012850467289719, 0.6949513381995134, 1543, 169, 1003, 2285
tfidf, poly, 2, 0.7982, 0.7729772191673213, 0.8243683781581093, 0.8203418090871196, 0.7777777777777778, 1968, 431, 578, 2023
tfidf, poly, 3, 0.5052, 0.030243519245875882, 0.9979625101874491, 0.9390243902439024, 0.49796665311102073, 77, 5, 2469, 2449
tfidf, sigmoid, 3, 0.8336, 0.7859387274155538, 0.8830480847595762, 0.8745629370629371, 0.7990412979351033, 2001, 287, 545, 2167
tfidf, linear, 3, 0.7834, 0.6732128829536528, 0.8977180114099429, 0.872264631043257, 0.7258649093904448, 1714, 251, 832, 2203
tfidf, 3, 3, 0.7814, 0.6633935585231736, 0.9038304808475958, 0.8774025974025974, 0.7213008130081301, 1689, 236, 857, 2218
tfidf, poly, 2, 0.7982, 0.7729772191673213, 0.8243683781581093, 0.8203418090871196, 0.7777777777777778, 1968, 431, 578, 2023
tfidf, poly, 3, 0.5052, 0.030243519245875882, 0.9979625101874491, 0.9390243902439024, 0.49796665311102073, 77, 5, 2469, 2449
tfidf, sigmoid, 3, 0.7834, 0.6732128829536528, 0.8977180114099429, 0.872264631043257, 0.7258649093904448, 1714, 251, 832, 2203
d2vdm, linear, 3, 0.8286, 0.8727415553809897, 0.7828035859820701, 0.8065335753176044, 0.8556792873051225, 2222, 533, 324, 1921
d2vdm, 3, 3, 0.8294, 0.8566378633150039, 0.8011409942950285, 0.8171599850131135, 0.8434148434148434, 2181, 488, 365, 1966
d2vdm, poly, 2, 0.8028, 0.8307148468185389, 0.773838630806846, 0.7921348314606742, 0.8150214592274678, 2115, 555, 431, 1899
d2vdm, poly, 3, 0.821, 0.8656716417910447, 0.7746536267318663, 0.7994196590496917, 0.8475256353098529, 2204, 553, 342, 1901
d2vdm, sigmoid, 3, 0.8254, 0.8719560094265515, 0.7770986145069275, 0.8023129743404409, 0.8540080609046127, 2220, 547, 326, 1907
d2vdm, linear, 3, 0.829, 0.8731343283582089, 0.7832110839445803, 0.8068965517241379, 0.8561247216035635, 2223, 532, 323, 1922
d2vdm, 3, 3, 0.8318, 0.8499607227022781, 0.812958435207824, 0.8250095310712924, 0.8392932267564156, 2164, 459, 382, 1995
d2vdm, poly, 2, 0.825, 0.8648860958366065, 0.7836185819070904, 0.8057080131723381, 0.8482576091751213, 2202, 531, 344, 1923
d2vdm, poly, 3, 0.811, 0.9006284367635506, 0.7180114099429503, 0.7681742043551089, 0.8744416873449131, 2293, 692, 253, 1762
d2vdm, sigmoid, 3, 0.8288, 0.8554595443833464, 0.8011409942950285, 0.8169542385596399, 0.8423307626392459, 2178, 488, 368, 1966
d2vdm, linear, 3, 0.828, 0.8688138256087982, 0.7856560717196414, 0.8078889700511322, 0.852343059239611, 2212, 526, 334, 1928
d2vdm, 3, 3, 0.8256, 0.8153967007069913, 0.8361858190709046, 0.837772397094431, 0.8136399682791435, 2076, 402, 470, 2052
d2vdm, poly, 2, 0.8108, 0.8853102906520032, 0.7334963325183375, 0.7751031636863824, 0.8604206500956023, 2254, 654, 292, 1800
d2vdm, poly, 3, 0.5726, 0.9980361351139042, 0.13121434392828035, 0.5437620372351808, 0.9847094801223242, 2541, 2132, 5, 322
d2vdm, sigmoid, 3, 0.827, 0.8460329929300864, 0.8072534637326814, 0.8199467072706509, 0.8348082595870207, 2154, 473, 392, 1981
d2vdbow, linear, 3, 0.8508, 0.861351139041634, 0.8398533007334963, 0.8480278422273781, 0.8537696768848384, 2193, 393, 353, 2061
d2vdbow, 3, 3, 0.853, 0.8766692851531814, 0.8284433577832111, 0.8413117225782133, 0.8662121857690669, 2232, 421, 314, 2033
d2vdbow, poly, 2, 0.8482, 0.8550667714061273, 0.8410757946210269, 0.848071679002727, 0.8483353884093712, 2177, 390, 369, 2064
d2vdbow, poly, 3, 0.8286, 0.908483896307934, 0.7457212713936431, 0.7875383043922369, 0.8870576829859428, 2313, 624, 233, 1830
